LAI,CAC,Sensible heat flux (kJ/hr),Latent heat flux (kg/hr)
0.005945,0.002303,-0.103334,0.000133
0.005962,0.002310,-0.103640,0.000133
0.005980,0.002317,-0.103947,0.000134
0.005998,0.002324,-0.104255,0.000134
0.006015,0.002330,-0.104563,0.000134
0.006033,0.002337,-0.104872,0.000135
0.006051,0.002344,-0.105183,0.000135
0.006069,0.002351,-0.105495,0.000136
0.006087,0.002358,-0.105806,0.000136
0.006105,0.002365,-0.106119,0.000136
0.006123,0.002372,-0.106433,0.000137
0.006141,0.002379,-0.106748,0.000137
0.006159,0.002386,-0.107062,0.000138
0.006177,0.002393,-0.107379,0.000138
0.006195,0.002400,-0.107695,0.000139
0.006214,0.002407,-0.108013,0.000139
0.006232,0.002414,-0.108331,0.000139
0.006250,0.002421,-0.108651,0.000140
0.006269,0.002429,-0.108971,0.000140
0.006287,0.002436,-0.109293,0.000141
0.006306,0.002443,-0.109614,0.000141
0.006325,0.002450,-0.109938,0.000141
0.006343,0.002457,-0.110261,0.000142
0.006362,0.002465,-0.110586,0.000142
0.006380,0.002472,-0.110911,0.000143
0.006399,0.002479,-0.111238,0.000143
0.006418,0.002486,-0.111565,0.000143
0.006437,0.002494,-0.111893,0.000144
0.006456,0.002501,-0.112222,0.000144
0.006475,0.002508,-0.112550,0.000145
0.006494,0.002516,-0.112880,0.000145
0.006513,0.002523,-0.113213,0.000146
0.006532,0.002531,-0.113545,0.000146
0.006551,0.002538,-0.113878,0.000146
0.006570,0.002545,-0.114212,0.000147
0.006590,0.002553,-0.114548,0.000147
0.006609,0.002560,-0.114883,0.000148
0.006628,0.002568,-0.115218,0.000148
0.006648,0.002575,-0.115557,0.000149
0.006667,0.002583,-0.115895,0.000149
0.006687,0.002590,-0.116234,0.000149
0.006706,0.002598,-0.116574,0.000150
0.006726,0.002606,-0.116915,0.000150
0.006746,0.002613,-0.117257,0.000151
0.006765,0.002621,-0.117600,0.000151
0.006785,0.002629,-0.117944,0.000152
0.006805,0.002636,-0.118288,0.000152
0.006825,0.002644,-0.118634,0.000153
0.006845,0.002652,-0.118980,0.000153
0.006865,0.002659,-0.119328,0.000153
0.006885,0.002667,-0.119675,0.000154
0.006905,0.002675,-0.120025,0.000154
0.006925,0.002683,-0.120374,0.000155
0.006945,0.002691,-0.120725,0.000155
0.006965,0.002698,-0.121076,0.000156
0.006986,0.002706,-0.121429,0.000156
0.007006,0.002714,-0.121784,0.000157
